Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
0,9.5,0.8,240.35,69715.0,3285.0,,
10,9.5,0.8,240.35,69643.62,71.38,6035.95,220431.67
20,9.5,0.8,240.31,69572.23,71.39,6034.94,220440.03
30,9.5,0.8,240.27,69500.84,71.39,6033.93,220448.4
40,9.5,0.8,240.23,69429.45,71.39,6032.93,220456.77
50,9.5,0.8,240.19,69358.06,71.39,6031.92,220465.14
60,9.5,0.8,240.15,69286.66,71.4,6030.91,220473.53
70,9.5,0.8,240.11,69215.26,71.4,6029.9,220481.91
80,9.5,0.8,240.07,69143.86,71.4,6028.89,220490.31
90,9.5,0.8,240.03,69072.45,71.41,6027.89,220498.7
100,9.5,0.8,239.99,69001.04,71.41,6026.88,220507.11
110,9.5,0.8,239.95,68929.63,71.41,6025.87,220515.52
120,9.5,0.8,239.91,68858.22,71.41,6024.87,220523.93
130,9.5,0.8,239.87,68786.81,71.42,6023.86,220532.36
140,9.5,0.8,239.83,68715.39,71.42,6022.86,220540.78
150,9.5,0.8,239.79,68643.97,71.42,6021.85,220549.22
160,9.5,0.79,239.75,68572.54,71.42,6020.85,220557.65
170,9.5,0.79,239.71,68501.11,71.43,6019.84,220566.1
180,9.5,0.79,239.67,68429.68,71.43,6018.84,220574.55
190,9.5,0.79,239.63,68358.25,71.43,6017.83,220583.01
200,9.5,0.79,239.59,68286.82,71.44,6016.83,220591.47
210,9.5,0.79,239.55,68215.38,71.44,6015.82,220599.93
220,9.5,0.79,239.51,68143.94,71.44,6014.82,220608.41
230,9.5,0.79,239.47,68072.5,71.44,6013.82,220616.89
240,9.5,0.79,239.43,68001.05,71.45,6012.81,220625.37
250,9.5,0.79,239.39,67929.6,71.45,6011.81,220633.86
260,9.5,0.79,239.35,67858.15,71.45,6010.81,220642.36
270,9.5,0.79,239.31,67786.7,71.45,6009.81,220650.86
280,9.5,0.79,239.27,67715.24,71.46,6008.8,220659.37
290,9.5,0.79,239.23,67643.78,71.46,6007.8,220667.88
300,9.5,0.79,239.19,67572.32,71.46,6006.8,220676.4
310,9.5,0.79,239.15,67500.85,71.47,6005.8,220684.93
320,9.5,0.79,239.11,67429.38,71.47,6004.8,220693.46
330,9.5,0.79,239.07,67357.91,71.47,6003.8,220701.99
340,9.5,0.79,239.03,67286.44,71.47,6002.8,220710.54
350,9.5,0.79,238.99,67214.96,71.48,6001.8,220719.09
360,9.5,0.79,238.95,67143.48,71.48,6000.8,220727.64
370,9.5,0.79,238.91,67072.0,71.48,5999.8,220736.2
380,9.5,0.79,238.87,67000.52,71.48,5998.8,220744.77
390,9.5,0.79,238.83,66929.03,71.49,5997.8,220753.34
400,9.5,0.79,238.79,66857.54,71.49,5996.8,220761.92
410,9.5,0.79,238.75,66786.04,71.49,5995.8,220770.5
420,9.5,0.79,238.71,66714.55,71.5,5994.8,220779.09
430,9.5,0.79,238.67,66643.05,71.5,5993.81,220787.69
440,9.5,0.79,238.63,66571.55,71.5,5992.81,220796.29
450,9.5,0.79,238.59,66500.04,71.5,5991.81,220804.9
460,9.5,0.79,238.55,66428.54,71.51,5990.81,220813.51
470,9.5,0.79,238.51,66357.03,71.51,5989.82,220822.13
480,9.5,0.79,238.47,66285.52,71.51,5988.82,220830.75
490,9.5,0.79,238.43,66214.0,71.52,5987.82,220839.38
500,9.5,0.79,238.39,66142.48,71.52,5986.83,220848.02
510,9.5,0.79,238.35,66070.96,71.52,5985.83,220856.66
520,9.5,0.79,238.31,65999.44,71.52,5984.84,220865.31
