Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
0,9,0.77,233.17,69715.0,3285.0,,
10,9,0.77,233.17,69642.98,72.02,6297.5,222390.17
20,9,0.77,233.13,69570.96,72.02,6296.53,222399.2
30,9,0.77,233.09,69498.94,72.02,6295.56,222408.24
40,9,0.77,233.05,69426.91,72.03,6294.59,222417.28
50,9,0.77,233.01,69354.88,72.03,6293.62,222426.33
60,9,0.77,232.97,69282.85,72.03,6292.65,222435.39
70,9,0.77,232.93,69210.82,72.04,6291.68,222444.46
80,9,0.77,232.9,69138.78,72.04,6290.71,222453.52
90,9,0.77,232.86,69066.74,72.04,6289.74,222462.6
100,9,0.77,232.82,68994.69,72.04,6288.77,222471.68
110,9,0.77,232.78,68922.65,72.05,6287.8,222480.77
120,9,0.77,232.74,68850.6,72.05,6286.84,222489.86
130,9,0.77,232.7,68778.54,72.05,6285.87,222498.96
140,9,0.77,232.66,68706.49,72.06,6284.9,222508.07
150,9,0.77,232.62,68634.43,72.06,6283.93,222517.18
160,9,0.77,232.58,68562.37,72.06,6282.97,222526.3
170,9,0.77,232.54,68490.3,72.06,6282.0,222535.43
180,9,0.77,232.51,68418.24,72.07,6281.03,222544.56
190,9,0.77,232.47,68346.16,72.07,6280.07,222553.7
200,9,0.77,232.43,68274.09,72.07,6279.1,222562.84
210,9,0.77,232.39,68202.01,72.08,6278.14,222571.99
220,9,0.76,232.35,68129.94,72.08,6277.17,222581.15
230,9,0.76,232.31,68057.85,72.08,6276.21,222590.31
240,9,0.76,232.27,67985.77,72.09,6275.24,222599.48
250,9,0.76,232.23,67913.68,72.09,6274.28,222608.65
260,9,0.76,232.19,67841.59,72.09,6273.31,222617.83
270,9,0.76,232.15,67769.49,72.09,6272.35,222627.02
280,9,0.76,232.11,67697.4,72.1,6271.39,222636.21
290,9,0.76,232.08,67625.3,72.1,6270.42,222645.41
300,9,0.76,232.04,67553.19,72.1,6269.46,222654.62
310,9,0.76,232.0,67481.09,72.11,6268.5,222663.83
320,9,0.76,231.96,67408.98,72.11,6267.53,222673.05
330,9,0.76,231.92,67336.87,72.11,6266.57,222682.28
340,9,0.76,231.88,67264.75,72.12,6265.61,222691.51
350,9,0.76,231.84,67192.63,72.12,6264.65,222700.74
360,9,0.76,231.8,67120.51,72.12,6263.69,222709.99
370,9,0.76,231.76,67048.39,72.12,6262.72,222719.24
380,9,0.76,231.72,66976.26,72.13,6261.76,222728.5
390,9,0.76,231.68,66904.13,72.13,6260.8,222737.76
400,9,0.76,231.64,66832.0,72.13,6259.84,222747.03
410,9,0.76,231.61,66759.86,72.14,6258.88,222756.3
420,9,0.76,231.57,66687.72,72.14,6257.92,222765.59
430,9,0.76,231.53,66615.58,72.14,6256.96,222774.87
440,9,0.76,231.49,66543.43,72.15,6256.0,222784.17
450,9,0.76,231.45,66471.29,72.15,6255.04,222793.47
460,9,0.76,231.41,66399.14,72.15,6254.08,222802.78
470,9,0.76,231.37,66326.98,72.15,6253.13,222812.09
480,9,0.76,231.33,66254.82,72.16,6252.17,222821.41
490,9,0.76,231.29,66182.66,72.16,6251.21,222830.74
500,9,0.76,231.25,66110.5,72.16,6250.25,222840.07
510,9,0.76,231.21,66038.33,72.17,6249.29,222849.41
520,9,0.76,231.17,65966.16,72.17,6248.34,222858.76
530,9,0.76,231.13,65893.99,72.17,6247.38,222868.11
540,9,0.76,231.09,65821.82,72.18,6246.42,222877.47
550,9,0.76,231.05,65749.64,72.18,6245.47,222886.84
560,9,0.76,231.02,65677.46,72.18,6244.51,222896.21
570,9,0.76,230.98,65605.27,72.18,6243.55,222905.59
580,9,0.76,230.94,65533.09,72.19,6242.6,222914.97
590,9,0.76,230.9,65460.89,72.19,6241.64,222924.36
600,9,0.76,230.86,65388.7,72.19,6240.69,222933.76
610,9,0.76,230.82,65316.5,72.2,6239.73,222943.16
620,9,0.76,230.78,65244.31,72.2,6238.78,222952.58
630,9,0.76,230.74,65172.1,72.2,6237.82,222961.99
640,9,0.76,230.7,65099.9,72.21,6236.87,222971.42
650,9,0.76,230.66,65027.69,72.21,6235.91,222980.85
660,9,0.76,230.62,64955.48,72.21,6234.96,222990.28
670,9,0.76,230.58,64883.26,72.21,6234.01,222999.73
680,9,0.76,230.54,64811.04,72.22,6233.05,223009.18
690,9,0.76,230.5,64738.82,72.22,6232.1,223018.63
700,9,0.76,230.46,64666.6,72.22,6231.15,223028.1
710,9,0.76,230.42,64594.37,72.23,6230.2,223037.57
720,9,0.76,230.38,64522.14,72.23,6229.24,223047.04
730,9,0.76,230.35,64449.91,72.23,6228.29,223056.53
740,9,0.76,230.31,64377.67,72.24,6227.34,223066.01
750,9,0.76,230.27,64305.43,72.24,6226.39,223075.51
760,9,0.76,230.23,64233.19,72.24,6225.44,223085.01
770,9,0.76,230.19,64160.94,72.25,6224.49,223094.52
780,9,0.76,230.15,64088.69,72.25,6223.54,223104.04
790,9,0.76,230.11,64016.44,72.25,6222.59,223113.56
800,9,0.76,230.07,63944.19,72.25,6221.64,223123.09
810,9,0.76,230.03,63871.93,72.26,6220.69,223132.62
820,9,0.76,229.99,63799.67,72.26,6219.74,223142.17
830,9,0.76,229.95,63727.4,72.26,6218.79,223151.72
840,9,0.76,229.91,63655.14,72.27,6217.84,223161.27
850,9,0.76,229.87,63582.87,72.27,6216.89,223170.83
860,9,0.76,229.83,63510.59,72.27,6215.94,223180.4
870,9,0.76,229.79,63438.32,72.28,6215.0,223189.98
880,9,0.76,229.75,63366.04,72.28,6214.05,223199.56
890,9,0.76,229.71,63293.75,72.28,6213.1,223209.15
900,9,0.76,229.67,63221.47,72.29,6212.15,223218.74
910,9,0.76,229.63,63149.18,72.29,6211.21,223228.35
920,9,0.76,229.59,63076.89,72.29,6210.26,223237.95
930,9,0.76,229.55,63004.59,72.3,6209.31,223247.57
940,9,0.76,229.51,62932.29,72.3,6208.37,223257.19
950,9,0.76,229.47,62859.99,72.3,6207.42,223266.82
960,9,0.76,229.43,62787.69,72.3,6206.47,223276.46
970,9,0.76,229.39,62715.38,72.31,6205.53,223286.1
980,9,0.76,229.35,62643.07,72.31,6204.58,223295.75
990,9,0.75,229.31,62570.76,72.31,6203.64,223305.4
1000,9,0.75,229.27,62498.44,72.32,6202.69,223315.07
1010,9,0.75,229.24,62426.12,72.32,6201.75,223324.74
1020,9,0.75,229.2,62353.79,72.32,6200.81,223334.41
1030,9,0.75,229.16,62281.47,72.33,6199.86,223344.1
1040,9,0.75,229.12,62209.14,72.33,6198.92,223353.79
1050,9,0.75,229.08,62136.81,72.33,6197.98,223363.48
1060,9,0.75,229.04,62064.47,72.34,6197.03,223373.19
1070,9,0.75,229.0,61992.13,72.34,6196.09,223382.9
1080,9,0.75,228.96,61919.79,72.34,6195.15,223392.61
1090,9,0.75,228.92,61847.44,72.35,6194.21,223402.34
1100,9,0.75,228.88,61775.1,72.35,6193.26,223412.07
1110,9,0.75,228.84,61702.74,72.35,6192.32,223421.81
1120,9,0.75,228.8,61630.39,72.35,6191.38,223431.55
1130,9,0.75,228.76,61558.03,72.36,6190.44,223441.3
1140,9,0.75,228.72,61485.67,72.36,6189.5,223451.06
1150,9,0.75,228.68,61413.31,72.36,6188.56,223460.83
1160,9,0.75,228.64,61340.94,72.37,6187.62,223470.6
1170,9,0.75,228.6,61268.57,72.37,6186.68,223480.38
1180,9,0.75,228.56,61196.19,72.37,6185.74,223490.16
1190,9,0.75,228.52,61123.82,72.38,6184.8,223499.95
1200,9,0.75,228.48,61051.44,72.38,6183.86,223509.75
1210,9,0.75,228.44,60979.05,72.38,6182.92,223519.56
1220,9,0.75,228.4,60906.67,72.39,6181.98,223529.37
