Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2
0,8.0,0.71,219.72,69715.0,3285.0,,
10,8.0,0.71,219.74,69641.61,73.39,6914.4,226628.57
20,8.0,0.71,219.73,69568.22,73.39,6911.89,226628.57
30,8.01,0.71,219.73,69494.83,73.39,6909.39,226628.57
40,8.01,0.71,219.72,69421.44,73.39,6906.88,226628.57
50,8.01,0.71,219.71,69348.05,73.39,6904.37,226628.57
60,8.01,0.71,219.7,69274.66,73.39,6901.86,226628.57
70,8.02,0.71,219.7,69201.27,73.39,6899.35,226628.57
80,8.02,0.71,219.69,69127.88,73.39,6896.84,226628.57
90,8.02,0.71,219.68,69054.49,73.39,6894.33,226628.57
100,8.02,0.71,219.68,68981.1,73.39,6891.82,226628.57
110,8.02,0.71,219.67,68907.71,73.39,6889.32,226628.57
120,8.03,0.71,219.66,68834.32,73.39,6886.81,226628.57
130,8.03,0.71,219.65,68760.93,73.39,6884.3,226628.57
140,8.03,0.71,219.65,68687.54,73.39,6881.79,226628.57
150,8.03,0.71,219.64,68614.15,73.39,6879.29,226628.57
160,8.04,0.71,219.63,68540.76,73.39,6876.78,226628.57
170,8.04,0.71,219.63,68467.37,73.39,6874.27,226628.57
180,8.04,0.71,219.62,68393.98,73.39,6871.77,226628.57
190,8.04,0.71,219.61,68320.59,73.39,6869.26,226628.57
200,8.05,0.71,219.6,68247.2,73.39,6866.76,226628.57
210,8.05,0.71,219.6,68173.81,73.39,6864.25,226628.57
220,8.05,0.71,219.59,68100.42,73.39,6861.74,226628.57
230,8.05,0.71,219.58,68027.03,73.39,6859.24,226628.57
240,8.06,0.71,219.58,67953.64,73.39,6856.73,226628.57
250,8.06,0.71,219.57,67880.25,73.39,6854.23,226628.57
260,8.06,0.71,219.56,67806.86,73.39,6851.73,226628.57
270,8.06,0.71,219.55,67733.47,73.39,6849.22,226628.57
280,8.07,0.71,219.55,67660.08,73.39,6846.72,226628.57
290,8.07,0.71,219.54,67586.69,73.39,6844.21,226628.57
300,8.07,0.71,219.53,67513.3,73.39,6841.71,226628.57
310,8.07,0.71,219.53,67439.91,73.39,6839.21,226628.57
320,8.07,0.71,219.52,67366.52,73.39,6836.7,226628.57
330,8.08,0.71,219.51,67293.13,73.39,6834.2,226628.57
340,8.08,0.71,219.5,67219.74,73.39,6831.7,226628.57
350,8.08,0.71,219.5,67146.35,73.39,6829.19,226628.57
360,8.08,0.71,219.49,67072.96,73.39,6826.69,226628.57
370,8.09,0.71,219.48,66999.57,73.39,6824.19,226628.57
380,8.09,0.71,219.47,66926.18,73.39,6821.69,226628.57
390,8.09,0.71,219.47,66852.79,73.39,6819.19,226628.57
400,8.09,0.71,219.46,66779.4,73.39,6816.68,226628.57
410,8.1,0.71,219.45,66706.01,73.39,6814.18,226628.57
