Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2,n_prop,n_cycle,n_0,H
0,10.0,0.83,247.86,69715.0,3285.0,,,,,,
10,10.001203213966274,0.8277552310933034,247.87785919176454,69638.36052944703,76.63947055296161,6283.179736035849,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
20,10.003524066713204,0.8277552310933034,247.86948015001445,69561.72105889407,76.63947055296161,6280.857123106728,236662.68506754545,0.6944136640481227,0.4954564444042689,0.309646552441521,28570.353689751384
30,10.005845587469926,0.8277552310933034,247.8610984131502,69485.0815883411,76.63947055296161,6278.534700598887,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
40,10.00816777666632,0.8277552310933034,247.85271397934625,69408.44211778813,76.63947055296161,6276.212468506286,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
50,10.010490634732689,0.8277552310933034,247.84432684677512,69331.80264723516,76.63947055296161,6273.89042682292,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
60,10.012814162099765,0.8277552310933034,247.83593701360758,69255.1631766822,76.63947055296161,6271.568575542754,236662.68506754545,0.6944136640481227,0.4954564444042689,0.309646552441521,28570.353689751384
70,10.015138359198728,0.8277552310933034,247.82754447801224,69178.52370612923,76.63947055296161,6269.246914659719,236662.68506754545,0.6944136640481227,0.4954564444042689,0.309646552441521,28570.353689751384
80,10.017463226461158,0.8277552310933034,247.81914923815623,69101.88423557626,76.63947055296161,6266.92544416778,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
90,10.01978876431909,0.8277552310933034,247.8107512922043,69025.2447650233,76.63947055296161,6264.604164060868,236662.68506754545,0.6944136640481227,0.4954564444042689,0.309646552441521,28570.353689751384
100,10.02211497320499,0.8277552310933034,247.80235063831967,68948.60529447033,76.63947055296161,6262.283074332896,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
110,10.02444185355176,0.8277552310933034,247.79394727466354,68871.96582391736,76.63947055296161,6259.962174977763,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
120,10.026769405792708,0.8277552310933034,247.78554119939514,68795.32635336439,76.63947055296161,6257.6414659894,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
130,10.029097630361608,0.8277552310933034,247.77713241067187,68718.68688281142,76.63947055296161,6255.320947361666,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
140,10.031426527692672,0.8277552310933034,247.76872090664932,68642.04741225846,76.63947055296161,6253.000619088433,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
150,10.03375609822051,0.8277552310933034,247.76030668548077,68565.40794170549,76.63947055296161,6250.680481163596,236662.68506754545,0.6944136640481227,0.4954564444042689,0.309646552441521,28570.353689751384
160,10.03608634238022,0.8277552310933034,247.75188974531815,68488.76847115252,76.63947055296161,6248.360533580966,236662.68506754545,0.6944136640481227,0.4954564444042689,0.309646552441521,28570.353689751384
170,10.038417260607275,0.8277552310933034,247.743470084311,68412.12900059955,76.63947055296161,6246.040776334432,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
180,10.040748853337645,0.8277552310933034,247.73504770060725,68335.48953004659,76.63947055296161,6243.721209417795,236662.68506754545,0.6944136640481227,0.4954564444042689,0.309646552441521,28570.353689751384
190,10.043081121007704,0.8277552310933034,247.7266225923527,68258.85005949362,76.63947055296161,6241.401832824878,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
200,10.045414064054263,0.8277552310933034,247.7181947576912,68182.21058894065,76.63947055296161,6239.0826465495065,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
210,10.047747682914594,0.8277552310933034,247.70976419476506,68105.57111838768,76.63947055296161,6236.763650585461,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
220,10.050081978026391,0.8277552310933034,247.70133090171413,68028.93164783472,76.63947055296161,6234.444844926525,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
230,10.052416949827794,0.8277552310933034,247.6928948766766,67952.29217728175,76.63947055296161,6232.126229566486,236662.68506754545,0.6944136640481227,0.4954564444042689,0.309646552441521,28570.353689751384
240,10.054752598757378,0.8277552310933034,247.68445611778878,67875.65270672878,76.63947055296161,6229.807804499112,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
250,10.057088925254176,0.8277552310933034,247.67601462318484,67799.01323617582,76.63947055296161,6227.4895697181355,236662.68506754545,0.6944136640481227,0.4954564444042689,0.309646552441521,28570.353689751384
260,10.059425929757648,0.8277552310933034,247.66757039099724,67722.37376562285,76.63947055296161,6225.171525217306,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
270,10.061763612707693,0.8277552310933034,247.65912341935632,67645.73429506988,76.63947055296161,6222.85367099036,236662.68506754545,0.6944136640481224,0.4954564444042689,0.3096465524415209,28570.35368975137
280,10.064101974544664,0.8277552310933034,247.6506737063905,67569.09482451691,76.63947055296161,6220.536007031011,236662.68506754545,0.6944136640481227,0.4954564444042689,0.309646552441521,28570.353689751384
