Dist,Alt,Mach,TAS,Fuel,Fuel Burn,gNOx,gCO2,n_prop,n_cycle,n_0,H
0,8.5,0.74,226.3,69715.0,3285.0,,,,,,
10,8.5,0.74,226.3,69642.31,72.69,6590.21,224455.57,0.73,0.5,0.33,30124.44
20,8.5,0.74,226.26,69569.62,72.69,6589.28,224465.31,0.73,0.5,0.33,30123.13
30,8.5,0.74,226.22,69496.93,72.69,6588.34,224475.05,0.73,0.5,0.33,30121.82
40,8.5,0.74,226.18,69424.24,72.7,6587.41,224484.8,0.73,0.5,0.33,30120.51
50,8.5,0.74,226.15,69351.54,72.7,6586.47,224494.56,0.73,0.5,0.33,30119.2
60,8.5,0.74,226.11,69278.83,72.7,6585.54,224504.33,0.73,0.5,0.33,30117.89
70,8.5,0.74,226.07,69206.13,72.71,6584.61,224514.1,0.73,0.5,0.33,30116.58
80,8.5,0.74,226.03,69133.42,72.71,6583.68,224523.88,0.73,0.5,0.33,30115.27
90,8.5,0.74,225.99,69060.71,72.71,6582.74,224533.66,0.73,0.5,0.33,30113.96
100,8.5,0.74,225.96,68987.99,72.71,6581.81,224543.45,0.73,0.5,0.33,30112.64
110,8.5,0.74,225.92,68915.28,72.72,6580.88,224553.25,0.73,0.5,0.33,30111.33
120,8.5,0.74,225.88,68842.55,72.72,6579.95,224563.05,0.73,0.5,0.33,30110.02
130,8.5,0.74,225.84,68769.83,72.72,6579.02,224572.87,0.73,0.5,0.33,30108.7
140,8.5,0.74,225.8,68697.1,72.73,6578.09,224582.68,0.73,0.5,0.33,30107.38
150,8.5,0.74,225.76,68624.37,72.73,6577.16,224592.51,0.73,0.5,0.33,30106.07
160,8.5,0.74,225.73,68551.64,72.73,6576.23,224602.34,0.73,0.5,0.33,30104.75
170,8.5,0.74,225.69,68478.9,72.74,6575.3,224612.18,0.73,0.5,0.33,30103.43
180,8.5,0.74,225.65,68406.16,72.74,6574.37,224622.02,0.73,0.5,0.33,30102.11
190,8.5,0.74,225.61,68333.42,72.74,6573.44,224631.88,0.73,0.5,0.33,30100.79
200,8.5,0.74,225.57,68260.67,72.75,6572.51,224641.73,0.73,0.5,0.33,30099.47
210,8.5,0.74,225.53,68187.92,72.75,6571.58,224651.6,0.73,0.5,0.33,30098.15
220,8.5,0.74,225.5,68115.17,72.75,6570.65,224661.47,0.73,0.5,0.33,30096.82
230,8.5,0.74,225.46,68042.41,72.76,6569.72,224671.35,0.73,0.5,0.33,30095.5
240,8.5,0.74,225.42,67969.65,72.76,6568.79,224681.23,0.73,0.5,0.33,30094.18
250,8.5,0.74,225.38,67896.89,72.76,6567.86,224691.13,0.73,0.5,0.33,30092.85
260,8.5,0.74,225.34,67824.12,72.77,6566.94,224701.03,0.73,0.5,0.33,30091.52
270,8.5,0.74,225.31,67751.35,72.77,6566.01,224710.93,0.73,0.5,0.33,30090.2
280,8.5,0.74,225.27,67678.58,72.77,6565.08,224720.84,0.73,0.5,0.33,30088.87
290,8.5,0.74,225.23,67605.81,72.78,6564.15,224730.76,0.73,0.5,0.33,30087.54
300,8.5,0.74,225.19,67533.03,72.78,6563.23,224740.69,0.73,0.5,0.33,30086.21
310,8.5,0.74,225.15,67460.25,72.78,6562.3,224750.62,0.73,0.5,0.33,30084.88
320,8.5,0.74,225.11,67387.46,72.79,6561.37,224760.56,0.73,0.5,0.33,30083.55
330,8.5,0.74,225.07,67314.67,72.79,6560.45,224770.51,0.73,0.5,0.33,30082.22
340,8.5,0.74,225.04,67241.88,72.79,6559.52,224780.46,0.73,0.5,0.33,30080.89
350,8.5,0.74,225.0,67169.09,72.79,6558.6,224790.42,0.73,0.5,0.33,30079.56
360,8.5,0.74,224.96,67096.29,72.8,6557.67,224800.39,0.73,0.5,0.33,30078.22
370,8.5,0.74,224.92,67023.49,72.8,6556.75,224810.36,0.73,0.5,0.33,30076.89
380,8.5,0.74,224.88,66950.68,72.8,6555.82,224820.34,0.73,0.5,0.33,30075.55
390,8.5,0.74,224.84,66877.87,72.81,6554.9,224830.33,0.73,0.5,0.33,30074.22
400,8.5,0.73,224.81,66805.06,72.81,6553.97,224840.32,0.73,0.5,0.33,30072.88
410,8.5,0.73,224.77,66732.25,72.81,6553.05,224850.32,0.73,0.5,0.33,30071.54
420,8.5,0.73,224.73,66659.43,72.82,6552.13,224860.33,0.73,0.5,0.33,30070.2
430,8.5,0.73,224.69,66586.61,72.82,6551.2,224870.35,0.73,0.5,0.33,30068.86
440,8.5,0.73,224.65,66513.79,72.82,6550.28,224880.37,0.73,0.5,0.33,30067.52
450,8.5,0.73,224.61,66440.96,72.83,6549.36,224890.4,0.73,0.5,0.33,30066.18
460,8.5,0.73,224.58,66368.13,72.83,6548.43,224900.43,0.73,0.5,0.33,30064.84
470,8.5,0.73,224.54,66295.3,72.83,6547.51,224910.48,0.73,0.5,0.33,30063.5
480,8.5,0.73,224.5,66222.46,72.84,6546.59,224920.53,0.73,0.5,0.33,30062.15
490,8.5,0.73,224.46,66149.62,72.84,6545.67,224930.58,0.73,0.5,0.33,30060.81
500,8.5,0.73,224.42,66076.77,72.84,6544.75,224940.65,0.73,0.5,0.33,30059.46
510,8.5,0.73,224.38,66003.93,72.85,6543.82,224950.72,0.73,0.5,0.33,30058.12
520,8.5,0.73,224.34,65931.08,72.85,6542.9,224960.79,0.73,0.5,0.33,30056.77
530,8.5,0.73,224.31,65858.22,72.85,6541.98,224970.88,0.73,0.5,0.33,30055.42
540,8.5,0.73,224.27,65785.37,72.86,6541.06,224980.97,0.73,0.5,0.33,30054.08
550,8.5,0.73,224.23,65712.51,72.86,6540.14,224991.07,0.73,0.5,0.33,30052.73
560,8.5,0.73,224.19,65639.65,72.86,6539.22,225001.17,0.73,0.5,0.33,30051.38
570,8.5,0.73,224.15,65566.78,72.87,6538.3,225011.28,0.73,0.5,0.33,30050.03
580,8.5,0.73,224.11,65493.91,72.87,6537.38,225021.4,0.73,0.5,0.33,30048.67
590,8.5,0.73,224.07,65421.04,72.87,6536.46,225031.53,0.73,0.5,0.33,30047.32
600,8.5,0.73,224.04,65348.16,72.88,6535.55,225041.66,0.73,0.5,0.33,30045.97
610,8.5,0.73,224.0,65275.28,72.88,6534.63,225051.8,0.73,0.5,0.33,30044.61
620,8.5,0.73,223.96,65202.4,72.88,6533.71,225061.95,0.73,0.5,0.33,30043.26
630,8.5,0.73,223.92,65129.51,72.89,6532.79,225072.1,0.73,0.5,0.33,30041.9
640,8.5,0.73,223.88,65056.62,72.89,6531.87,225082.26,0.73,0.5,0.33,30040.55
650,8.5,0.73,223.84,64983.73,72.89,6530.95,225092.43,0.73,0.5,0.33,30039.19
660,8.5,0.73,223.8,64910.83,72.9,6530.04,225102.61,0.73,0.5,0.33,30037.83
670,8.5,0.73,223.76,64837.94,72.9,6529.12,225112.79,0.73,0.5,0.33,30036.47
680,8.5,0.73,223.73,64765.03,72.9,6528.2,225122.98,0.73,0.5,0.33,30035.11
690,8.5,0.73,223.69,64692.13,72.91,6527.29,225133.17,0.73,0.5,0.33,30033.75
700,8.5,0.73,223.65,64619.22,72.91,6526.37,225143.38,0.73,0.5,0.33,30032.39
710,8.5,0.73,223.61,64546.31,72.91,6525.45,225153.59,0.73,0.5,0.33,30031.03
720,8.5,0.73,223.57,64473.39,72.92,6524.54,225163.81,0.73,0.5,0.33,30029.67
730,8.5,0.73,223.53,64400.47,72.92,6523.62,225174.03,0.73,0.5,0.33,30028.3
740,8.5,0.73,223.49,64327.55,72.92,6522.71,225184.26,0.73,0.5,0.33,30026.94
750,8.5,0.73,223.46,64254.62,72.93,6521.79,225194.5,0.73,0.5,0.33,30025.57
760,8.5,0.73,223.42,64181.69,72.93,6520.88,225204.75,0.73,0.5,0.33,30024.21
770,8.5,0.73,223.38,64108.76,72.93,6519.96,225215.0,0.73,0.5,0.33,30022.84
780,8.5,0.73,223.34,64035.83,72.94,6519.05,225225.26,0.73,0.5,0.33,30021.47
790,8.5,0.73,223.3,63962.89,72.94,6518.14,225235.53,0.73,0.5,0.33,30020.1
800,8.5,0.73,223.26,63889.94,72.94,6517.22,225245.8,0.73,0.5,0.33,30018.73
810,8.5,0.73,223.22,63817.0,72.95,6516.31,225256.09,0.73,0.5,0.33,30017.36
820,8.5,0.73,223.18,63744.05,72.95,6515.4,225266.38,0.73,0.5,0.33,30015.99
830,8.5,0.73,223.15,63671.1,72.95,6514.48,225276.67,0.73,0.5,0.33,30014.62
840,8.5,0.73,223.11,63598.14,72.96,6513.57,225286.98,0.73,0.5,0.33,30013.25
850,8.5,0.73,223.07,63525.18,72.96,6512.66,225297.29,0.73,0.5,0.33,30011.87
860,8.5,0.73,223.03,63452.22,72.96,6511.75,225307.6,0.73,0.5,0.33,30010.5
870,8.5,0.73,222.99,63379.25,72.97,6510.84,225317.93,0.73,0.5,0.33,30009.12
880,8.5,0.73,222.95,63306.29,72.97,6509.92,225328.26,0.73,0.5,0.33,30007.75
890,8.5,0.73,222.91,63233.31,72.97,6509.01,225338.6,0.73,0.5,0.33,30006.37
900,8.5,0.73,222.87,63160.34,72.98,6508.1,225348.95,0.73,0.5,0.33,30004.99
910,8.5,0.73,222.83,63087.36,72.98,6507.19,225359.3,0.73,0.5,0.33,30003.61
920,8.5,0.73,222.8,63014.38,72.98,6506.28,225369.66,0.73,0.5,0.33,30002.23
930,8.5,0.73,222.76,62941.39,72.99,6505.37,225380.03,0.73,0.5,0.33,30000.85
940,8.5,0.73,222.72,62868.4,72.99,6504.46,225390.41,0.73,0.5,0.33,29999.47
950,8.5,0.73,222.68,62795.41,72.99,6503.55,225400.79,0.73,0.5,0.33,29998.09
960,8.5,0.73,222.64,62722.41,73.0,6502.64,225411.18,0.73,0.5,0.33,29996.71
970,8.5,0.73,222.6,62649.41,73.0,6501.73,225421.58,0.73,0.5,0.33,29995.32
980,8.5,0.73,222.56,62576.41,73.0,6500.82,225431.98,0.73,0.5,0.33,29993.94
990,8.5,0.73,222.52,62503.41,73.01,6499.92,225442.39,0.73,0.5,0.33,29992.55
1000,8.5,0.73,222.48,62430.4,73.01,6499.01,225452.81,0.73,0.5,0.33,29991.17
1010,8.5,0.73,222.45,62357.38,73.01,6498.1,225463.24,0.73,0.5,0.33,29989.78
1020,8.5,0.73,222.41,62284.37,73.02,6497.19,225473.67,0.73,0.5,0.33,29988.39
1030,8.5,0.73,222.37,62211.35,73.02,6496.29,225484.12,0.73,0.5,0.33,29987.0
1040,8.5,0.73,222.33,62138.32,73.02,6495.38,225494.56,0.73,0.5,0.32,29985.61
